year,location,total,num_1_units,num_2_units,num_3_4_units,num_5_more_units,num_structures_more_5_units
2019,United States,1386048,862084,23864,18729,481371,15961
2019,Northeast Region,141186,52699,4132,3353,81002,3278
2019,New England Division,35923,16883,1368,764,16908,967
2019,Connecticut,5854,2364,186,151,3153,121
2019,Maine,4760,3474,196,29,1061,50
2019,Massachusetts,17365,6292,568,419,10086,665
2019,New Hampshire,4743,2746,192,38,1767,73
2019,Rhode Island,1400,1020,130,87,163,11
2019,Vermont,1801,987,96,40,678,47
2019,Middle Atlantic Division,105263,35816,2764,2589,64094,2311
2019,New Jersey,36505,11526,1066,932,22981,1071
2019,New York,45219,9412,1086,705,34016,928
2019,Pennsylvania,23539,14878,612,952,7097,312
2019,Midwest Region,184772,114248,4490,3552,62482,2063
2019,East North Central Division,103960,67052,2380,2245,32283,1344
2019,Illinois,20524,8745,470,855,10454,315
2019,Indiana,22309,16308,358,163,5480,226
2019,Michigan,20600,14623,244,567,5166,293
2019,Ohio,23047,16078,298,555,6116,283
2019,Wisconsin,17480,11298,1010,105,5067,227
2019,West North Central Division,80812,47196,2110,1307,30199,719
2019,Iowa,11870,7877,346,274,3373,122
2019,Kansas,7961,5089,700,214,1958,69
2019,Minnesota,28586,13709,186,190,14501,199
2019,Missouri,17460,10955,554,447,5504,179
2019,Nebraska,8025,4672,164,74,3115,81
2019,North Dakota,2495,1767,44,4,680,13
2019,South Dakota,4415,3127,116,104,1068,56
2019,South Region,710304,486168,8588,5899,209649,6185
2019,South Atlantic Division,381869,266865,3712,2594,108698,3226
2019,Delaware,6539,5573,162,89,715,73
2019,District of Columbia,5945,168,90,4,5683,59
2019,Florida,154302,99831,2014,1118,51339,1407
2019,Georgia,53823,42939,276,392,10216,400
2019,Maryland,18491,12053,152,95,6191,119
2019,North Carolina,71307,51642,408,212,19045,641
2019,South Carolina,36034,31052,268,74,4640,220
2019,Virginia,32418,21056,290,408,10664,282
2019,West Virginia,3010,2551,52,202,205,25
2019,East South Central Division,77872,57934,830,853,18255,638
2019,Alabama,17748,14705,150,330,2563,92
2019,Kentucky,11811,7467,312,215,3817,189
2019,Mississippi,6952,6164,72,103,613,52
2019,Tennessee,41361,29598,296,205,11262,305
2019,West South Central Division,250563,161369,4046,2452,82696,2321
2019,Arkansas,12723,7869,560,415,3879,158
2019,Louisiana,15793,14013,496,137,1147,52
2019,Oklahoma,12152,10393,434,95,1230,41
2019,Texas,209895,129094,2556,1805,76440,2070
2019,West Region,349786,208969,6654,5925,128238,4435
2019,Mountain Division,163355,111814,2234,2692,46615,1671
2019,Arizona,46580,33981,876,202,11521,326
2019,Colorado,38633,24756,352,370,13155,379
2019,Idaho,17716,12978,228,672,3838,226
2019,Montana,4776,3014,328,376,1058,53
2019,Nevada,20143,13088,58,242,6755,287
2019,New Mexico,5020,4285,14,19,702,39
2019,Utah,28779,18191,308,757,9523,352
2019,Wyoming,1708,1521,70,54,63,9
2019,Pacific Division,186431,97155,4420,3233,81623,2764
2019,Alaska,1680,1147,54,85,394,41
2019,California,110197,58575,2476,1694,47452,1600
2019,Hawaii,4093,2547,18,92,1436,49
2019,Oregon,22037,11586,492,244,9715,377
2019,Washington,48424,23300,1380,1118,22626,697
